,Tree,Node,ID,Feature,Split,Yes,No,Missing,Gain,Cover,Category
1987,8,165,8-165,Leaf,,,,,-0.00290595158,30.0037174,
1988,8,166,8-166,Leaf,,,,,0.0916737691,19.4040775,
1989,8,167,8-167,Leaf,,,,,-0.0340448096,645.262939,
1990,8,168,8-168,Leaf,,,,,7.38335002e-05,180.345413,
1991,8,169,8-169,Leaf,,,,,-0.0443055369,276.955048,
1992,8,170,8-170,Leaf,,,,,0.0024916546,132.429169,
1993,8,171,8-171,Leaf,,,,,-0.0498971902,205.366013,
1994,8,172,8-172,Leaf,,,,,-0.0868426561,217.778442,
1995,8,173,8-173,Leaf,,,,,-0.0914297625,312.243164,
1996,8,174,8-174,Leaf,,,,,-0.114089422,291.822479,
1997,8,175,8-175,Leaf,,,,,-0.0567520373,311.114655,
1998,8,176,8-176,Leaf,,,,,-0.0871483535,427.868744,
1999,8,177,8-177,Leaf,,,,,0.0533676632,32.3568726,
2000,8,178,8-178,Leaf,,,,,-0.0118537238,94.1453934,
2001,8,179,8-179,Leaf,,,,,0.0384953208,3.0688076,
2002,8,180,8-180,Leaf,,,,,0.170119509,5.02116299,
2003,8,181,8-181,Leaf,,,,,-0.103767529,23.4279022,
2004,8,182,8-182,Leaf,,,,,0.00270602852,3.16146159,
2005,8,183,8-183,Leaf,,,,,0.0971058682,4.23268557,
2006,8,184,8-184,Leaf,,,,,-0.054279495,18.0067024,
2007,8,185,8-185,Leaf,,,,,-0.0482379459,3.0281868,
2008,8,186,8-186,Leaf,,,,,-0.119221225,578.964661,
2009,8,187,8-187,Leaf,,,,,-0.119339518,1074.87317,
2010,8,188,8-188,Leaf,,,,,-0.100361042,55.6877251,
2011,8,189,8-189,Leaf,,,,,-0.0699772313,41.8816109,
2012,8,190,8-190,Leaf,,,,,-0.107152537,457.464111,
2013,8,191,8-191,Leaf,,,,,-0.106984936,71.3327103,
2014,8,192,8-192,Leaf,,,,,-0.0474410132,78.5716324,
2015,8,193,8-193,Leaf,,,,,-0.112862758,1046.31433,
